,Is_Male,ParentEduc,StandardLunch,TestPrep,PracticeSport,WklyStudyHours,MathScore,ReadingScore,WritingScore,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E
6737,0,1,1,0.0,1,1,0.55,0.69,0.67,1,0,0,0,0
6738,0,5,1,0.0,1,1,0.89,0.88,0.85,0,0,0,0,1
6739,0,1,1,0.0,2,1,0.79,0.84,0.8,0,0,1,0,0
6740,1,3,1,0.0,2,2,0.81,0.8,0.73,0,0,1,0,0
6741,1,5,0,1.0,1,0,0.7,0.72,0.74,0,1,0,0,0
6742,1,3,1,1.0,1,1,0.89,0.9,0.89,0,0,0,1,0
6743,1,2,1,0.0,0,2,0.72,0.62,0.59,1,0,0,0,0
6744,1,3,1,0.5,2,1,0.87,0.92,0.79,0,0,1,0,0
6745,0,2,1,0.0,2,0,0.75,0.81,0.77,0,1,0,0,0
6746,0,2,1,1.0,2,0,0.73,0.78,0.79,0,1,0,0,0
6747,1,1,1,0.0,1,2,0.56,0.51,0.45,0,1,0,0,0
6748,1,4,1,0.0,1,1,1.0,0.94,0.95,0,0,0,0,1
6749,0,1,1,0.0,0,0,0.33,0.4,0.4,0,1,0,0,0
6750,1,2,1,1.0,1,1,0.88,0.73,0.79,0,1,0,0,0
6751,0,3,0,0.0,2,1,0.56,0.71,0.69,0,1,0,0,0
6752,0,0,1,0.0,2,1,0.86,0.81,0.84,0,0,1,0,0
6753,1,3,1,0.0,0,0,0.78,0.66,0.61,1,0,0,0,0
6754,1,0,0,0.0,1,1,0.46,0.38,0.26,0,0,1,0,0
6755,1,3,0,1.0,2,1,0.53,0.47,0.58,0,0,0,1,0
6756,1,2,0,0.0,1,1,0.68,0.67,0.61,0,0,1,0,0
6757,0,3,1,0.0,2,1,0.8,0.82,0.75,0,1,0,0,0
6758,1,1,1,1.0,1,2,1.0,0.96,0.96,0,1,0,0,0
6759,1,4,1,1.0,2,1,0.88,0.9,0.95,0,0,1,0,0
6760,0,2,0,0.0,1,0,0.56,0.71,0.71,0,0,0,1,0
6761,1,0,0,1.0,1,0,0.53,0.49,0.49,0,1,0,0,0
6762,1,0,1,0.0,2,1,0.75,0.71,0.62,0,0,1,0,0
6763,1,3,1,0.0,0,2,0.97,0.92,0.9,0,0,0,0,1
6764,0,2,1,1.0,1,0,0.88,0.96,0.98,0,0,0,1,0
6766,1,3,0,1.0,2,0,0.5,0.51,0.55,0,0,1,0,0
6767,0,5,1,0.0,1,2,0.9,0.82,0.88,0,0,1,0,0
6768,1,3,0,1.0,2,2,0.76,0.85,0.82,1,0,0,0,0
6769,1,0,1,0.0,2,1,0.88,0.77,0.74,0,0,1,0,0
6770,0,0,1,0.5,2,1,0.8,0.86,0.78,0,0,1,0,0
6771,0,5,1,0.0,2,1,0.91,0.9,0.97,0,0,0,0,1
6772,1,4,1,1.0,1,2,0.78,0.71,0.71,0,0,1,0,0
6773,0,0,1,0.0,1,0,0.85,0.86,0.8,0,0,1,0,0
6774,0,2,1,0.0,2,2,0.67,0.73,0.71,0,0,1,0,0
6776,0,5,0,1.0,0,0,0.77,0.94,0.9,0,0,1,0,0
6777,1,0,1,0.0,1,0,0.77,0.81,0.77,1,0,0,0,0
6778,1,2,1,0.0,2,2,0.83,0.78,0.73,0,1,0,0,0
6779,0,0,0,0.0,1,1,0.69,0.66,0.7,0,0,0,1,0
6780,0,1,1,0.0,0,1,0.64,0.72,0.7,0,1,0,0,0
6781,1,4,1,0.0,1,1,0.5,0.46,0.52,0,0,0,1,0
6783,0,2,1,0.0,1,0,0.48,0.62,0.58,0,0,1,0,0
6784,0,0,1,0.0,1,2,0.51,0.52,0.52,0,0,0,1,0
6786,0,0,1,0.0,0,2,0.68,0.68,0.63,0,0,0,0,1
6788,0,2,0,0.0,0,1,0.61,0.78,0.81,0,0,0,1,0
6789,1,2,0,0.0,2,0,0.67,0.65,0.61,0,1,0,0,0
6790,0,1,1,0.0,1,2,0.57,0.68,0.71,0,0,1,0,0
6791,1,1,0,0.0,0,1,0.56,0.53,0.49,0,1,0,0,0
6792,1,2,0,0.0,2,1,0.54,0.5,0.52,0,1,0,0,0
6793,1,5,1,0.0,0,1,0.97,0.97,0.97,0,0,0,1,0
6794,0,4,1,1.0,2,1,0.48,0.61,0.69,1,0,0,0,0
6795,1,2,1,1.0,0,1,0.71,0.59,0.63,0,0,0,1,0
6796,0,5,1,1.0,2,1,0.87,0.95,0.94,0,0,1,0,0
6797,0,4,1,0.0,1,1,0.52,0.6,0.59,0,1,0,0,0
6798,1,3,0,0.0,1,1,0.63,0.61,0.58,0,0,0,0,1
6800,0,2,0,0.0,2,1,0.72,0.85,0.85,0,1,0,0,0
6801,1,0,0,0.0,2,1,0.54,0.53,0.51,0,1,0,0,0
6802,0,0,1,0.0,1,1,0.72,0.72,0.78,0,0,0,1,0
6803,1,3,1,0.0,0,2,0.9,0.92,0.82,0,1,0,0,0
6804,0,3,1,0.0,0,1,0.86,0.79,0.78,0,0,0,1,0
6806,1,5,1,0.0,0,0,0.94,0.97,0.82,0,0,0,0,1
6808,1,4,1,1.0,2,1,1.0,0.98,0.95,0,0,0,1,0
6809,0,1,1,1.0,2,1,0.69,0.73,0.71,0,1,0,0,0
6810,1,1,0,0.0,0,1,0.63,0.62,0.57,0,0,0,1,0
6811,1,2,1,1.0,2,1,0.71,0.68,0.71,0,0,0,1,0
6813,1,1,1,0.0,1,1,0.42,0.47,0.41,1,0,0,0,0
6815,0,0,0,0.0,1,1,0.42,0.51,0.5,0,0,1,0,0
6816,1,4,1,0.0,1,2,0.95,0.87,0.86,0,0,0,1,0
6817,0,2,1,1.0,1,2,0.61,0.73,0.75,1,0,0,0,0
6818,1,1,0,0.0,1,2,0.71,0.72,0.63,0,0,0,0,1
6819,0,0,0,0.0,2,1,0.48,0.58,0.59,0,0,0,1,0
6820,1,5,0,0.0,1,2,0.46,0.5,0.53,0,0,1,0,0
6822,0,3,1,0.0,0,2,0.63,0.71,0.71,0,0,0,1,0
6823,0,1,1,0.0,1,0,0.74,0.77,0.81,0,0,1,0,0
6824,0,4,1,1.0,1,1,0.9,1.0,1.0,0,0,1,0,0
6825,0,0,1,1.0,2,0,0.71,0.77,0.83,0,0,1,0,0
6826,1,0,1,0.0,1,1,1.0,0.87,0.83,0,0,0,0,1
6827,0,1,1,0.0,0,0,0.8,0.87,0.85,0,0,1,0,0
6828,0,2,1,1.0,2,2,0.63,0.75,0.74,0,0,0,1,0
6829,1,0,1,0.0,2,1,0.69,0.65,0.58,0,0,1,0,0
6830,1,3,0,0.0,1,0,0.7,0.6,0.58,0,0,0,0,1
6831,1,1,0,1.0,2,0,0.73,0.7,0.73,0,1,0,0,0
6832,0,5,1,0.0,0,0,0.72,0.75,0.74,0,1,0,0,0
6833,0,3,1,0.0,1,1,0.84,0.84,0.85,0,1,0,0,0
6835,0,0,1,0.0,0,1,0.74,0.81,0.77,0,0,1,0,0
6836,0,1,1,0.5,1,1,0.4,0.5,0.5,0,0,1,0,0
6838,0,2,0,0.0,1,1,0.57,0.71,0.67,0,0,0,1,0
6839,1,5,0,0.0,1,0,0.83,0.82,0.77,0,1,0,0,0
6841,0,2,1,0.0,1,1,0.88,0.91,0.89,0,0,0,0,1
6842,0,0,1,0.0,0,0,0.42,0.48,0.52,0,0,0,1,0
6843,0,4,1,0.0,1,0,0.64,0.61,0.61,0,0,1,0,0
6844,0,2,1,0.0,2,1,0.37,0.44,0.47,0,1,0,0,0
6846,1,5,1,1.0,2,1,0.91,0.92,0.87,0,0,1,0,0
6847,0,1,1,0.0,1,1,0.77,0.82,0.82,0,0,1,0,0
6848,1,3,1,1.0,0,2,0.92,0.83,0.81,0,0,0,1,0
6849,1,2,1,1.0,1,1,0.83,0.75,0.77,0,0,1,0,0
6850,1,2,0,0.0,1,1,0.63,0.63,0.55,0,1,0,0,0
6851,0,4,1,1.0,1,1,0.83,0.93,1.0,1,0,0,0,0
6852,0,2,1,1.0,0,1,0.69,0.83,0.82,0,0,0,1,0
6853,0,5,1,1.0,1,1,0.59,0.59,0.68,0,0,1,0,0
6854,1,1,1,0.0,0,1,0.81,0.79,0.73,0,0,0,1,0
6855,0,4,1,0.5,1,1,0.42,0.61,0.68,0,0,0,1,0
6856,1,2,0,1.0,1,1,0.6,0.54,0.59,0,0,0,1,0
6858,0,2,1,1.0,1,1,0.63,0.71,0.75,0,0,0,0,1
6859,0,4,1,0.5,1,0,0.94,0.9,0.97,0,1,0,0,0
6862,1,0,1,0.0,1,2,0.7,0.63,0.6,0,0,0,1,0
6863,0,0,1,0.5,2,1,0.52,0.6,0.63,0,1,0,0,0
6865,0,1,1,0.0,2,1,0.69,0.78,0.74,0,0,0,0,1
6866,0,3,0,0.5,2,1,0.81,0.9,0.9,0,0,0,1,0
6867,1,4,1,1.0,1,1,0.88,0.76,0.77,0,0,0,0,1
6868,1,0,1,0.0,0,0,0.54,0.57,0.51,0,0,0,1,0
6870,1,1,0,0.0,2,1,0.38,0.39,0.41,0,0,1,0,0
6871,0,2,0,0.0,2,1,0.48,0.55,0.51,0,0,1,0,0
6872,1,2,0,0.0,1,1,0.57,0.61,0.59,1,0,0,0,0
6874,0,3,0,0.0,2,0,0.87,0.97,0.92,0,0,0,0,1
6875,1,0,1,1.0,1,1,0.89,0.82,0.82,0,0,0,0,1
6876,0,1,1,1.0,1,1,0.8,1.0,0.91,0,0,1,0,0
6877,0,1,0,1.0,0,1,0.53,0.68,0.69,0,0,1,0,0
6878,0,4,1,0.0,1,2,0.82,0.74,0.85,0,0,0,1,0
6879,1,2,1,0.0,1,0,0.53,0.51,0.44,0,0,1,0,0
6880,1,2,0,0.0,1,0,0.71,0.61,0.58,0,0,0,0,1
6881,1,0,1,1.0,1,0,0.76,0.69,0.71,1,0,0,0,0
6882,0,2,1,0.0,2,0,0.9,0.85,0.91,0,0,0,1,0
6883,0,1,1,1.0,2,1,0.76,0.89,0.92,0,0,1,0,0
6884,0,1,0,0.0,2,0,0.78,0.81,0.77,0,0,1,0,0
6886,1,1,1,0.0,1,2,0.5,0.51,0.51,0,0,0,0,1
6887,0,1,1,1.0,1,1,0.77,0.83,0.88,0,1,0,0,0
6888,1,2,1,0.0,2,1,0.79,0.77,0.72,0,1,0,0,0
6889,1,2,1,0.0,1,2,0.72,0.66,0.61,0,0,0,0,1
6891,1,0,1,0.0,2,1,0.93,0.92,0.8,0,0,0,0,1
6892,0,1,0,0.0,1,0,0.15,0.2,0.3,0,0,1,0,0
6893,1,0,1,0.0,1,1,0.51,0.53,0.47,1,0,0,0,0
6894,0,3,1,0.0,0,0,0.54,0.67,0.67,0,0,1,0,0
6896,0,3,0,0.0,1,2,0.51,0.56,0.57,0,0,1,0,0
6898,0,2,1,0.0,1,0,0.56,0.65,0.65,0,0,1,0,0
6899,0,0,1,1.0,1,1,0.74,0.79,0.8,1,0,0,0,0
6900,0,5,1,0.0,2,1,0.82,0.91,0.91,0,0,0,1,0
6901,1,2,0,0.0,1,1,0.64,0.58,0.55,0,1,0,0,0
6902,1,0,0,1.0,0,1,0.5,0.47,0.44,0,0,1,0,0
6903,1,3,1,0.0,0,1,0.59,0.65,0.54,0,1,0,0,0
6904,1,3,1,1.0,1,0,0.87,0.84,0.81,0,0,0,0,1
6905,1,3,1,0.0,2,1,0.46,0.46,0.45,0,0,1,0,0
6907,0,2,1,0.0,0,0,0.59,0.66,0.7,0,0,0,1,0
6908,1,5,1,0.0,0,2,0.91,0.97,0.93,0,0,0,1,0
6910,0,0,0,0.0,0,2,0.37,0.53,0.5,0,0,1,0,0
6911,1,4,1,0.0,1,1,0.79,0.68,0.66,0,0,0,0,1
6912,1,0,1,1.0,2,2,0.94,0.87,0.86,0,0,0,0,1
6913,0,3,0,1.0,1,1,0.67,0.86,0.87,0,0,0,1,0
6914,0,5,1,0.5,2,1,0.79,0.78,0.8,0,0,0,0,1
6915,1,4,0,0.0,2,1,0.72,0.66,0.65,0,0,1,0,0
6917,1,1,1,0.0,1,2,0.69,0.62,0.59,0,0,0,0,1
6918,0,3,0,0.0,1,1,0.73,0.87,0.87,0,0,1,0,0
6919,0,2,1,1.0,1,1,0.38,0.48,0.55,0,1,0,0,0
6921,1,2,1,1.0,1,1,0.7,0.73,0.7,0,1,0,0,0
6922,1,0,1,1.0,1,1,0.83,0.78,0.8,0,0,0,1,0
6923,1,2,1,0.0,2,1,0.84,0.85,0.85,0,0,1,0,0
6925,0,2,1,0.0,2,0,0.75,0.83,0.89,0,0,0,1,0
6926,1,0,0,0.0,1,1,0.51,0.68,0.63,0,1,0,0,0
6927,1,0,0,0.0,0,0,0.56,0.6,0.55,0,0,0,1,0
6928,0,1,1,1.0,2,0,0.92,0.99,0.99,0,0,1,0,0
6930,1,5,0,1.0,1,1,0.62,0.7,0.73,0,0,0,1,0
6931,0,0,1,0.0,0,0,0.39,0.44,0.46,1,0,0,0,0
6932,1,0,0,0.0,2,1,0.55,0.52,0.47,0,0,0,1,0
6934,1,4,1,0.0,2,1,0.67,0.54,0.5,1,0,0,0,0
6936,1,2,0,0.0,1,0,0.76,0.73,0.72,1,0,0,0,0
6937,0,4,0,0.0,2,1,0.7,0.79,0.71,0,0,0,0,1
6938,0,2,1,1.0,2,0,0.67,0.65,0.75,0,1,0,0,0
6939,1,1,1,1.0,2,1,0.84,0.76,0.82,0,0,0,1,0
6940,0,2,1,1.0,1,2,0.81,0.83,0.87,0,0,0,1,0
6941,0,3,1,0.0,1,0,0.53,0.57,0.63,0,1,0,0,0
6942,0,2,0,0.0,1,1,0.62,0.79,0.69,0,1,0,0,0
6943,0,1,0,0.0,2,1,0.73,0.75,0.79,0,0,1,0,0
6945,0,3,1,1.0,1,1,0.62,0.77,0.79,0,0,0,1,0
6946,0,1,1,1.0,1,1,0.69,0.74,0.72,0,1,0,0,0
6947,0,1,1,0.0,1,1,0.54,0.52,0.53,0,0,0,1,0
6948,0,3,1,0.0,1,1,0.66,0.74,0.69,0,1,0,0,0
6949,1,3,1,0.5,2,0,0.84,0.79,0.74,0,0,0,0,1
6950,1,3,1,1.0,2,1,0.81,0.86,0.85,0,0,0,1,0
6952,0,2,1,0.0,0,2,0.58,0.57,0.56,0,0,1,0,0
6953,0,0,1,0.0,1,1,0.37,0.45,0.47,0,0,1,0,0
6954,1,2,0,0.0,1,0,0.52,0.52,0.49,0,0,1,0,0
6955,0,1,1,1.0,2,1,0.81,0.9,0.93,0,0,1,0,0
6956,1,1,0,0.0,2,0,0.48,0.6,0.48,0,0,0,1,0
6957,1,1,0,1.0,2,1,0.56,0.68,0.67,1,0,0,0,0
6958,1,2,1,0.0,1,1,0.73,0.7,0.67,0,0,1,0,0
6959,1,1,1,1.0,0,1,0.81,0.8,0.77,0,0,1,0,0
6960,1,4,1,1.0,1,2,0.94,0.9,0.91,0,0,1,0,0
6961,1,5,0,1.0,1,1,0.76,0.86,0.84,0,0,0,0,1
6963,1,0,1,1.0,1,1,0.47,0.46,0.46,0,1,0,0,0
6964,1,2,0,0.0,1,0,0.93,0.79,0.78,0,0,0,0,1
6965,1,1,1,1.0,1,1,0.72,0.77,0.76,0,0,0,1,0
6966,1,0,1,1.0,2,1,0.62,0.6,0.56,0,1,0,0,0
6967,0,4,0,1.0,0,1,0.49,0.53,0.54,0,0,1,0,0
6968,0,0,1,0.0,2,0,0.59,0.74,0.62,0,0,1,0,0
6969,1,3,0,1.0,1,1,0.71,0.71,0.67,0,0,1,0,0
6970,0,1,1,0.0,2,1,0.43,0.47,0.51,0,1,0,0,0
6971,1,1,1,0.0,2,0,0.6,0.51,0.54,0,0,0,1,0
6972,0,1,0,0.5,0,0,0.36,0.54,0.43,0,1,0,0,0
6973,0,3,1,1.0,2,1,0.98,1.0,1.0,0,0,0,1,0
6974,0,1,1,1.0,2,2,0.62,0.67,0.77,0,1,0,0,0
6975,0,4,1,0.5,1,1,0.8,1.0,0.94,0,0,1,0,0
6977,0,3,1,1.0,1,0,0.46,0.58,0.57,1,0,0,0,0
6979,0,2,1,0.0,0,1,0.57,0.71,0.78,0,0,1,0,0
6980,0,0,1,1.0,2,0,0.55,0.68,0.69,0,0,1,0,0
6981,1,5,0,0.0,0,1,0.71,0.71,0.71,0,0,0,0,1
6982,0,3,1,1.0,2,1,0.82,0.89,0.95,0,0,0,1,0
6983,0,4,1,0.0,2,2,0.49,0.63,0.59,0,0,0,1,0
6984,1,4,0,1.0,1,0,0.71,0.74,0.77,0,0,0,1,0
6985,1,5,0,0.5,2,2,0.65,0.61,0.64,0,1,0,0,0
6986,0,2,1,1.0,2,1,0.43,0.57,0.55,0,1,0,0,0
6987,1,1,0,1.0,1,2,0.61,0.58,0.61,0,1,0,0,0
6988,1,0,0,0.0,0,1,0.39,0.37,0.35,0,0,1,0,0
6989,1,2,0,1.0,0,0,0.55,0.67,0.63,0,0,1,0,0
6990,0,3,1,0.0,2,1,0.8,0.8,0.85,0,0,0,0,1
6991,1,4,0,0.0,1,0,0.45,0.46,0.47,0,1,0,0,0
6992,1,3,1,0.0,1,1,0.7,0.69,0.59,0,0,1,0,0
6993,1,0,0,0.0,1,1,0.59,0.54,0.52,0,0,1,0,0
6994,1,1,0,0.0,2,0,0.76,0.66,0.69,0,0,0,0,1
6995,0,5,1,0.0,1,1,0.39,0.48,0.47,0,1,0,0,0
6996,1,0,1,0.5,2,1,0.74,0.76,0.78,0,1,0,0,0
6997,1,0,1,0.0,0,0,0.63,0.61,0.52,1,0,0,0,0
6998,0,4,0,0.0,1,1,0.51,0.56,0.6,0,1,0,0,0
6999,0,3,1,0.5,1,1,0.9,1.0,1.0,1,0,0,0,0
7000,0,5,1,1.0,1,1,0.59,0.77,0.73,0,1,0,0,0
7001,0,3,0,0.0,2,0,0.42,0.45,0.44,1,0,0,0,0
7002,1,3,1,0.0,2,0,0.65,0.64,0.69,0,0,0,1,0
7005,1,1,1,0.0,2,1,0.75,0.71,0.59,0,0,0,0,1
7006,0,0,1,1.0,1,1,0.58,0.65,0.66,0,1,0,0,0
7007,0,3,1,0.0,1,1,0.95,1.0,0.97,0,0,1,0,0
7008,0,3,1,0.0,2,1,0.97,0.97,0.93,0,0,1,0,0
7009,1,2,1,0.0,2,1,0.78,0.69,0.63,0,0,0,0,1
7010,0,2,1,0.0,2,0,0.66,0.72,0.7,0,0,1,0,0
7011,0,3,0,0.0,1,1,0.64,0.74,0.71,0,0,0,0,1
7012,0,3,1,0.0,1,1,0.82,0.93,0.9,0,1,0,0,0
7013,1,3,0,0.0,2,1,0.56,0.56,0.55,1,0,0,0,0
7014,0,2,1,0.0,0,1,0.37,0.51,0.44,0,1,0,0,0
7015,1,2,0,1.0,2,2,0.65,0.57,0.54,0,1,0,0,0
7016,1,4,1,1.0,1,1,1.0,0.94,0.99,0,0,1,0,0
7017,1,5,0,0.0,2,2,0.58,0.61,0.58,0,1,0,0,0
7018,0,1,0,0.0,2,1,0.35,0.51,0.54,0,0,1,0,0
7019,1,4,1,1.0,0,0,0.94,0.93,0.94,0,0,1,0,0
7020,1,4,1,0.0,2,1,0.79,0.74,0.73,0,0,0,1,0
7021,0,1,0,0.0,2,2,0.5,0.65,0.62,0,1,0,0,0
7022,0,5,1,0.0,0,0,0.59,0.64,0.61,0,0,1,0,0
7023,0,5,1,0.0,1,2,0.41,0.5,0.57,0,0,0,1,0
7024,1,2,1,1.0,2,0,0.99,0.92,0.99,0,0,0,1,0
7025,0,2,1,0.0,1,1,0.77,0.67,0.73,0,0,0,0,1
7026,1,3,1,0.0,2,1,0.73,0.71,0.74,0,0,0,1,0
7027,0,0,1,0.0,2,2,0.41,0.5,0.53,1,0,0,0,0
7028,1,0,1,1.0,2,0,0.85,0.74,0.75,0,0,0,0,1
7029,1,2,0,1.0,2,2,0.86,0.78,0.87,0,1,0,0,0
7030,0,2,0,0.0,0,1,0.5,0.65,0.61,0,0,1,0,0
7031,1,1,1,1.0,1,1,0.64,0.5,0.54,0,0,0,1,0
7032,0,2,0,0.0,0,1,0.77,0.83,0.73,0,0,0,0,1
7033,0,1,1,0.0,2,1,0.77,0.9,0.91,0,0,0,1,0
7034,1,2,1,0.5,1,1,0.56,0.49,0.49,0,1,0,0,0
7035,1,0,0,0.0,1,0,0.87,0.84,0.76,0,0,0,0,1
7036,0,3,0,0.5,2,2,0.57,0.65,0.7,0,0,0,1,0
7037,1,0,1,1.0,2,2,0.82,0.76,0.74,0,0,0,1,0
7038,1,0,1,0.0,2,1,0.61,0.52,0.54,0,1,0,0,0
7039,1,2,0,0.0,1,0,0.59,0.53,0.49,0,0,0,0,1
7040,1,3,1,1.0,0,0,0.79,0.82,0.8,0,0,1,0,0
7041,1,3,0,0.0,1,1,0.51,0.58,0.56,0,0,0,1,0
7043,0,1,1,0.0,1,1,0.43,0.49,0.49,0,0,0,1,0
7044,0,0,1,0.0,1,1,0.64,0.65,0.58,0,0,1,0,0
7045,1,1,0,1.0,2,1,0.7,0.63,0.59,1,0,0,0,0
7046,0,3,1,0.0,0,0,0.84,0.76,0.77,0,1,0,0,0
7047,0,2,0,0.0,0,2,0.33,0.41,0.37,0,0,1,0,0
7048,1,2,0,0.0,1,2,0.41,0.43,0.34,0,0,0,0,1
7049,1,1,1,1.0,1,0,0.67,0.62,0.68,0,0,1,0,0
7050,0,0,1,1.0,2,1,0.63,0.68,0.74,0,0,0,1,0
7051,1,3,0,1.0,0,2,0.63,0.66,0.68,0,0,0,1,0
7052,1,2,1,0.5,1,2,0.7,0.68,0.68,0,0,1,0,0
7053,1,1,1,0.0,2,1,0.84,0.78,0.73,0,0,1,0,0
7054,0,0,1,0.0,0,2,0.67,0.7,0.69,0,0,0,0,1
7055,0,1,0,0.0,1,1,0.53,0.68,0.67,0,1,0,0,0
7057,1,2,1,1.0,1,1,0.83,0.93,0.9,0,1,0,0,0
7058,1,3,0,0.0,2,1,0.56,0.58,0.52,0,0,1,0,0
7059,0,4,0,1.0,1,0,0.58,0.73,0.68,0,0,0,1,0
7060,0,1,1,1.0,2,1,0.67,0.8,0.86,0,0,0,1,0
7061,0,4,1,1.0,1,0,0.96,0.98,0.98,0,0,1,0,0
7062,1,3,1,0.0,2,0,0.71,0.72,0.69,0,0,0,1,0
7065,0,5,1,0.0,1,0,0.82,0.81,0.76,0,0,1,0,0
7066,0,5,0,0.0,1,0,0.59,0.79,0.76,0,0,1,0,0
7067,0,3,0,0.0,1,0,0.61,0.63,0.69,0,0,0,0,1
7068,1,0,1,0.0,2,0,0.44,0.43,0.4,0,0,1,0,0
7070,0,3,1,0.5,1,0,0.73,0.78,0.78,0,0,0,1,0
7072,1,5,0,0.0,2,0,0.59,0.72,0.73,0,0,0,0,1
7073,0,4,0,0.0,2,1,0.62,0.78,0.79,0,0,0,1,0
7074,0,5,1,0.0,2,1,0.97,1.0,1.0,0,0,0,0,1
7075,1,0,0,1.0,2,0,0.43,0.52,0.48,0,0,0,1,0
7076,0,5,1,0.0,2,2,0.95,0.91,1.0,0,0,0,1,0
7077,1,4,1,0.0,0,0,0.71,0.68,0.65,0,1,0,0,0
7078,0,4,1,0.0,2,1,0.94,0.93,0.92,0,0,0,0,1
7079,1,0,1,1.0,1,1,0.84,0.74,0.79,1,0,0,0,0
7080,0,2,0,1.0,1,2,0.63,0.75,0.82,0,0,1,0,0
7082,1,2,0,1.0,1,2,0.66,0.71,0.67,0,0,1,0,0
7083,0,1,0,1.0,1,1,0.54,0.61,0.67,0,0,0,0,1
7085,0,3,1,0.0,2,1,0.48,0.51,0.5,0,1,0,0,0
7086,0,0,1,0.0,0,2,0.69,0.71,0.66,0,0,0,0,1
7087,1,1,1,0.0,1,1,0.6,0.6,0.59,0,1,0,0,0
7088,0,0,1,0.5,1,1,0.59,0.5,0.59,0,0,1,0,0
7090,1,4,1,0.0,1,1,0.71,0.61,0.64,0,0,1,0,0
7091,1,1,1,0.0,0,0,0.51,0.48,0.46,0,0,1,0,0
7092,0,5,1,0.0,2,0,0.89,0.94,0.93,0,0,0,0,1
7093,1,0,1,0.0,1,1,0.88,0.78,0.77,0,0,0,1,0
7094,1,0,1,0.0,1,1,0.76,0.64,0.65,0,0,0,1,0
7095,1,3,1,0.0,1,1,0.8,0.85,0.76,0,0,1,0,0
7096,0,1,1,0.0,1,2,0.74,0.82,0.82,0,1,0,0,0
7097,0,3,1,1.0,1,1,0.5,0.7,0.66,0,0,0,1,0
7098,0,3,0,1.0,1,0,0.49,0.57,0.63,0,1,0,0,0
7099,1,4,0,0.0,2,1,0.4,0.5,0.49,0,0,1,0,0
7100,1,1,1,0.0,2,1,0.6,0.63,0.56,0,0,0,1,0
7101,0,4,1,0.0,1,1,0.77,0.86,0.81,0,1,0,0,0
7102,1,1,1,0.0,0,0,0.72,0.73,0.76,0,0,0,1,0
7103,0,5,1,0.0,1,1,0.84,0.92,0.93,0,1,0,0,0
7104,1,0,0,0.0,2,1,0.64,0.57,0.51,0,0,0,0,1
7105,0,5,1,1.0,1,2,0.73,0.82,0.89,0,0,1,0,0
7107,0,2,1,0.5,1,1,0.69,0.84,0.75,0,1,0,0,0
7108,0,4,1,1.0,0,0,0.88,0.92,0.92,0,0,0,0,1
7109,1,3,0,0.0,1,1,0.67,0.62,0.67,0,0,1,0,0
7110,0,0,1,0.0,2,1,0.64,0.72,0.64,0,0,1,0,0
7111,1,3,1,1.0,1,1,0.83,0.82,0.85,0,1,0,0,0
7112,0,2,1,1.0,2,1,0.47,0.51,0.64,0,0,0,1,0
7113,0,3,1,0.0,1,0,0.74,0.81,0.78,1,0,0,0,0
7114,0,3,1,1.0,1,1,0.74,0.83,0.88,0,1,0,0,0
7115,1,0,1,0.0,1,2,0.61,0.56,0.47,1,0,0,0,0
7116,1,2,0,1.0,2,1,0.63,0.71,0.73,0,0,1,0,0
7117,1,1,1,0.0,1,0,0.64,0.65,0.61,0,0,0,1,0
7118,0,1,0,0.0,2,1,0.57,0.63,0.66,0,0,0,1,0
7119,1,0,1,1.0,1,1,0.69,0.75,0.7,0,1,0,0,0
7122,1,0,0,1.0,0,0,0.57,0.67,0.66,0,0,1,0,0
7123,0,4,1,0.0,2,1,0.84,0.83,0.92,0,0,0,1,0
7124,0,3,1,0.0,2,0,0.67,0.59,0.66,1,0,0,0,0
7125,0,0,0,0.0,1,2,0.51,0.57,0.49,0,1,0,0,0
7126,0,0,1,0.0,1,1,0.83,0.74,0.84,0,0,0,0,1
7127,0,3,0,1.0,2,2,0.58,0.79,0.74,1,0,0,0,0
7128,1,4,1,0.0,1,0,0.86,0.74,0.67,1,0,0,0,0
7129,1,3,1,0.0,1,1,0.86,0.84,0.82,0,0,1,0,0
7130,1,3,1,0.0,1,1,0.83,0.7,0.6,0,0,0,0,1
7131,1,2,1,0.0,2,1,0.51,0.58,0.48,0,0,1,0,0
7132,1,3,1,0.0,0,1,0.64,0.57,0.53,0,0,1,0,0
7133,1,0,1,1.0,2,1,0.8,0.72,0.71,0,0,0,1,0
7134,1,1,1,0.0,2,2,0.59,0.55,0.46,0,0,1,0,0
7135,1,3,1,0.0,2,1,0.9,0.86,0.8,0,0,0,0,1
7138,1,2,1,0.5,2,0,0.7,0.61,0.62,0,0,0,1,0
7139,1,3,0,0.0,2,0,0.51,0.5,0.51,0,0,0,0,1
7140,0,1,1,1.0,1,2,0.78,0.89,0.91,0,1,0,0,0
7141,0,2,1,0.5,2,1,0.75,0.85,0.71,0,0,0,0,1
7142,0,0,1,0.0,0,1,0.53,0.65,0.62,0,0,1,0,0
7143,0,0,1,1.0,0,1,0.56,0.65,0.69,0,0,0,1,0
7144,0,4,0,1.0,1,0,0.84,0.97,0.98,0,0,0,0,1
7145,0,5,1,0.0,1,0,0.66,0.63,0.62,0,1,0,0,0
7146,0,2,0,0.0,1,1,0.63,0.69,0.65,0,0,1,0,0
